Thread 1 is wrtting, Tiempo log, 1, 941200 nanosegundos
Thread 2 is writting, Tiempo log, 1, 1025300 nanosegundos
Thread 1 is wrtting, Tiempo log, 2, 281900 nanosegundos
Thread 2 is writting, Tiempo log, 2, 225800 nanosegundos
Thread 1 is wrtting, Tiempo log, 3, 215100 nanosegundos
Thread 2 is writting, Tiempo log, 3, 273200 nanosegundos
Thread 1 is wrtting, Tiempo log, 4, 312000 nanosegundos
Thread 2 is writting, Tiempo log, 4, 228700 nanosegundos
Thread 1 is wrtting, Tiempo log, 5, 235300 nanosegundos
Thread 1 is wrtting, Tiempo log, 6, 136800 nanosegundos
Thread 1 is wrtting, Tiempo log, 7, 130100 nanosegundos
Thread 2 is writting, Tiempo log, 5, 590800 nanosegundos
Thread 1 is wrtting, Tiempo log, 8, 285200 nanosegundos
Thread 2 is writting, Tiempo log, 6, 277000 nanosegundos
Thread 2 is writting, Tiempo log, 7, 101400 nanosegundos
Thread 1 is wrtting, Tiempo log, 9, 347800 nanosegundos
Thread 2 is writting, Tiempo log, 8, 239300 nanosegundos
Thread 1 is wrtting, Tiempo log, 10, 251000 nanosegundos
Thread 2 is writting, Tiempo log, 9, 213700 nanosegundos
Thread 1 is wrtting, Tiempo log, 11, 215300 nanosegundos
Thread 1 is wrtting, Tiempo log, 12, 102600 nanosegundos
Thread 2 is writting, Tiempo log, 10, 388300 nanosegundos
Thread 1 is wrtting, Tiempo log, 13, 251400 nanosegundos
Thread 2 is writting, Tiempo log, 11, 254000 nanosegundos
Thread 1 is wrtting, Tiempo log, 14, 239000 nanosegundos
Thread 2 is writting, Tiempo log, 12, 233500 nanosegundos
Thread 1 is wrtting, Tiempo log, 15, 256900 nanosegundos
Thread 1 is wrtting, Tiempo log, 16, 101800 nanosegundos
Thread 2 is writting, Tiempo log, 13, 392800 nanosegundos
Thread 1 is wrtting, Tiempo log, 17, 254700 nanosegundos
Thread 2 is writting, Tiempo log, 14, 265300 nanosegundos
Thread 1 is wrtting, Tiempo log, 18, 215200 nanosegundos
Thread 2 is writting, Tiempo log, 15, 238400 nanosegundos
Thread 1 is wrtting, Tiempo log, 19, 232100 nanosegundos
Thread 2 is writting, Tiempo log, 16, 257600 nanosegundos
Thread 2 is writting, Tiempo log, 17, 137200 nanosegundos
Thread 1 is wrtting, Tiempo log, 20, 391900 nanosegundos
Thread 2 is writting, Tiempo log, 18, 208200 nanosegundos
Thread 2 is writting, Tiempo log, 19, 103200 nanosegundos
Thread 2 is writting, Tiempo log, 20, 106800 nanosegundos
