Thread 1 is wrtting, Tiempo log, 1, 843900 nanosegundos
Thread 2 is writting, Tiempo log, 1, 931800 nanosegundos
Thread 1 is wrtting, Tiempo log, 2, 220700 nanosegundos
Thread 2 is writting, Tiempo log, 2, 311100 nanosegundos
Thread 1 is wrtting, Tiempo log, 3, 313300 nanosegundos
Thread 1 is wrtting, Tiempo log, 4, 136300 nanosegundos
Thread 2 is writting, Tiempo log, 3, 419400 nanosegundos
Thread 1 is wrtting, Tiempo log, 5, 249800 nanosegundos
Thread 1 is wrtting, Tiempo log, 6, 132100 nanosegundos
Thread 2 is writting, Tiempo log, 4, 408600 nanosegundos
Thread 1 is wrtting, Tiempo log, 7, 233300 nanosegundos
Thread 1 is wrtting, Tiempo log, 8, 130300 nanosegundos
Thread 2 is writting, Tiempo log, 5, 477800 nanosegundos
Thread 1 is wrtting, Tiempo log, 9, 296500 nanosegundos
Thread 2 is writting, Tiempo log, 6, 262900 nanosegundos
Thread 1 is wrtting, Tiempo log, 10, 265700 nanosegundos
Thread 2 is writting, Tiempo log, 7, 257400 nanosegundos
Thread 1 is wrtting, Tiempo log, 11, 231200 nanosegundos
Thread 2 is writting, Tiempo log, 8, 228000 nanosegundos
Thread 1 is wrtting, Tiempo log, 12, 258400 nanosegundos
Thread 2 is writting, Tiempo log, 9, 265000 nanosegundos
Thread 1 is wrtting, Tiempo log, 13, 229300 nanosegundos
Thread 2 is writting, Tiempo log, 10, 226100 nanosegundos
Thread 1 is wrtting, Tiempo log, 14, 223500 nanosegundos
Thread 2 is writting, Tiempo log, 11, 227800 nanosegundos
Thread 1 is wrtting, Tiempo log, 15, 284400 nanosegundos
Thread 2 is writting, Tiempo log, 12, 265800 nanosegundos
Thread 1 is wrtting, Tiempo log, 16, 213100 nanosegundos
Thread 2 is writting, Tiempo log, 13, 232800 nanosegundos
Thread 1 is wrtting, Tiempo log, 17, 245800 nanosegundos
Thread 2 is writting, Tiempo log, 14, 240400 nanosegundos
Thread 1 is wrtting, Tiempo log, 18, 267300 nanosegundos
Thread 2 is writting, Tiempo log, 15, 253100 nanosegundos
Thread 1 is wrtting, Tiempo log, 19, 252500 nanosegundos
Thread 2 is writting, Tiempo log, 16, 248100 nanosegundos
Thread 1 is wrtting, Tiempo log, 20, 245900 nanosegundos
Thread 2 is writting, Tiempo log, 17, 274500 nanosegundos
Thread 2 is writting, Tiempo log, 18, 113700 nanosegundos
Thread 2 is writting, Tiempo log, 19, 129500 nanosegundos
Thread 2 is writting, Tiempo log, 20, 106800 nanosegundos
