Muestra,Proceso,Tiempo
Muestra: 18,Thread 2 is writtingTiempo log, , 3873200 nanosegundos
Muestra: 19,Thread 2 is writting, Tiempo getFileLogger: 400 nanosegundos
Muestra: 18,Thread 1 is wrttingTiempo log, , 3260300 nanosegundos
Muestra: 19,Thread 1 is wrtting, Tiempo getFileLogger: 500 nanosegundos
Muestra: 19,Thread 2 is writtingTiempo log, , 3613300 nanosegundos
Muestra: 20,Thread 2 is writting, Tiempo getFileLogger: 500 nanosegundos
Muestra: 19,Thread 1 is wrttingTiempo log, , 4231000 nanosegundos
Muestra: 20,Thread 1 is wrtting, Tiempo getFileLogger: 700 nanosegundos
Muestra: 20,Thread 2 is writtingTiempo log, , 4130800 nanosegundos
Muestra: 20,Thread 1 is wrttingTiempo log, , 3670100 nanosegundos
