Thread 2 is writting, Tiempo log, 1, 1123800 nanosegundos
Thread 1 is wrtting, Tiempo log, 1, 1215300 nanosegundos
Thread 2 is writting, Tiempo log, 2, 274500 nanosegundos
Thread 1 is wrtting, Tiempo log, 2, 242100 nanosegundos
Thread 2 is writting, Tiempo log, 3, 232400 nanosegundos
Thread 1 is wrtting, Tiempo log, 3, 288000 nanosegundos
Thread 2 is writting, Tiempo log, 4, 278100 nanosegundos
Thread 1 is wrtting, Tiempo log, 4, 273400 nanosegundos
Thread 2 is writting, Tiempo log, 5, 231300 nanosegundos
Thread 2 is writting, Tiempo log, 6, 110700 nanosegundos
Thread 2 is writting, Tiempo log, 7, 116200 nanosegundos
Thread 1 is wrtting, Tiempo log, 5, 478100 nanosegundos
Thread 2 is writting, Tiempo log, 8, 225900 nanosegundos
Thread 1 is wrtting, Tiempo log, 6, 317400 nanosegundos
Thread 2 is writting, Tiempo log, 9, 329800 nanosegundos
Thread 1 is wrtting, Tiempo log, 7, 230000 nanosegundos
Thread 2 is writting, Tiempo log, 10, 181100 nanosegundos
Thread 1 is wrtting, Tiempo log, 8, 179700 nanosegundos
Thread 1 is wrtting, Tiempo log, 9, 124300 nanosegundos
Thread 2 is writting, Tiempo log, 11, 382200 nanosegundos
Thread 1 is wrtting, Tiempo log, 10, 226100 nanosegundos
Thread 2 is writting, Tiempo log, 12, 231000 nanosegundos
Thread 1 is wrtting, Tiempo log, 11, 244600 nanosegundos
Thread 1 is wrtting, Tiempo log, 12, 107600 nanosegundos
Thread 1 is wrtting, Tiempo log, 13, 98100 nanosegundos
Thread 2 is writting, Tiempo log, 13, 507300 nanosegundos
Thread 1 is wrtting, Tiempo log, 14, 256300 nanosegundos
Thread 2 is writting, Tiempo log, 14, 244200 nanosegundos
Thread 1 is wrtting, Tiempo log, 15, 223600 nanosegundos
Thread 2 is writting, Tiempo log, 15, 203400 nanosegundos
Thread 1 is wrtting, Tiempo log, 16, 189700 nanosegundos
Thread 2 is writting, Tiempo log, 16, 184300 nanosegundos
Thread 1 is wrtting, Tiempo log, 17, 208200 nanosegundos
Thread 2 is writting, Tiempo log, 17, 222000 nanosegundos
Thread 1 is wrtting, Tiempo log, 18, 242100 nanosegundos
Thread 2 is writting, Tiempo log, 18, 213900 nanosegundos
Thread 1 is wrtting, Tiempo log, 19, 206500 nanosegundos
Thread 2 is writting, Tiempo log, 19, 216700 nanosegundos
Thread 1 is wrtting, Tiempo log, 20, 248400 nanosegundos
Thread 2 is writting, Tiempo log, 20, 275200 nanosegundos
