Thread 1 is wrtting, Tiempo log, 1, 1097800 nanosegundos
Thread 2 is writting, Tiempo log, 1, 1217800 nanosegundos
Thread 1 is wrtting, Tiempo log, 2, 284500 nanosegundos
Thread 2 is writting, Tiempo log, 2, 305900 nanosegundos
Thread 1 is wrtting, Tiempo log, 3, 277300 nanosegundos
Thread 1 is wrtting, Tiempo log, 4, 124400 nanosegundos
Thread 2 is writting, Tiempo log, 3, 436000 nanosegundos
Thread 1 is wrtting, Tiempo log, 5, 272600 nanosegundos
Thread 2 is writting, Tiempo log, 4, 279100 nanosegundos
Thread 1 is wrtting, Tiempo log, 6, 295300 nanosegundos
Thread 2 is writting, Tiempo log, 5, 236500 nanosegundos
Thread 1 is wrtting, Tiempo log, 7, 230600 nanosegundos
Thread 2 is writting, Tiempo log, 6, 280500 nanosegundos
Thread 1 is wrtting, Tiempo log, 8, 280300 nanosegundos
Thread 2 is writting, Tiempo log, 7, 289500 nanosegundos
Thread 1 is wrtting, Tiempo log, 9, 281200 nanosegundos
Thread 2 is writting, Tiempo log, 8, 252100 nanosegundos
Thread 1 is wrtting, Tiempo log, 10, 258500 nanosegundos
Thread 2 is writting, Tiempo log, 9, 281200 nanosegundos
Thread 1 is wrtting, Tiempo log, 11, 234800 nanosegundos
Thread 2 is writting, Tiempo log, 10, 222300 nanosegundos
Thread 1 is wrtting, Tiempo log, 12, 244200 nanosegundos
Thread 2 is writting, Tiempo log, 11, 310400 nanosegundos
Thread 1 is wrtting, Tiempo log, 13, 276100 nanosegundos
Thread 2 is writting, Tiempo log, 12, 327400 nanosegundos
Thread 1 is wrtting, Tiempo log, 14, 306800 nanosegundos
Thread 2 is writting, Tiempo log, 13, 262700 nanosegundos
Thread 1 is wrtting, Tiempo log, 15, 260500 nanosegundos
Thread 2 is writting, Tiempo log, 14, 269400 nanosegundos
Thread 1 is wrtting, Tiempo log, 16, 279200 nanosegundos
Thread 2 is writting, Tiempo log, 15, 268600 nanosegundos
Thread 1 is wrtting, Tiempo log, 17, 272500 nanosegundos
Thread 2 is writting, Tiempo log, 16, 257200 nanosegundos
Thread 1 is wrtting, Tiempo log, 18, 264800 nanosegundos
Thread 2 is writting, Tiempo log, 17, 268700 nanosegundos
Thread 1 is wrtting, Tiempo log, 19, 265900 nanosegundos
Thread 2 is writting, Tiempo log, 18, 256800 nanosegundos
Thread 1 is wrtting, Tiempo log, 20, 263800 nanosegundos
Thread 2 is writting, Tiempo log, 19, 283200 nanosegundos
Thread 2 is writting, Tiempo log, 20, 129000 nanosegundos
