Thread 1 is wrtting, Tiempo log, 1, 1102900 nanosegundos
Thread 2 is writting, Tiempo log, 1, 1223700 nanosegundos
Thread 1 is wrtting, Tiempo log, 2, 252700 nanosegundos
Thread 2 is writting, Tiempo log, 2, 241600 nanosegundos
Thread 1 is wrtting, Tiempo log, 3, 242200 nanosegundos
Thread 2 is writting, Tiempo log, 3, 226400 nanosegundos
Thread 2 is writting, Tiempo log, 4, 126100 nanosegundos
Thread 1 is wrtting, Tiempo log, 4, 367900 nanosegundos
Thread 2 is writting, Tiempo log, 5, 186100 nanosegundos
Thread 1 is wrtting, Tiempo log, 5, 225100 nanosegundos
Thread 2 is writting, Tiempo log, 6, 261400 nanosegundos
Thread 1 is wrtting, Tiempo log, 6, 230200 nanosegundos
Thread 2 is writting, Tiempo log, 7, 249000 nanosegundos
Thread 1 is wrtting, Tiempo log, 7, 245200 nanosegundos
Thread 2 is writting, Tiempo log, 8, 226600 nanosegundos
Thread 1 is wrtting, Tiempo log, 8, 248600 nanosegundos
Thread 2 is writting, Tiempo log, 9, 280700 nanosegundos
Thread 1 is wrtting, Tiempo log, 9, 260600 nanosegundos
Thread 2 is writting, Tiempo log, 10, 341300 nanosegundos
Thread 1 is wrtting, Tiempo log, 10, 329900 nanosegundos
Thread 2 is writting, Tiempo log, 11, 234000 nanosegundos
Thread 1 is wrtting, Tiempo log, 11, 223000 nanosegundos
Thread 2 is writting, Tiempo log, 12, 223300 nanosegundos
Thread 1 is wrtting, Tiempo log, 12, 223600 nanosegundos
Thread 2 is writting, Tiempo log, 13, 247100 nanosegundos
Thread 1 is wrtting, Tiempo log, 13, 221300 nanosegundos
Thread 2 is writting, Tiempo log, 14, 218000 nanosegundos
Thread 1 is wrtting, Tiempo log, 14, 260300 nanosegundos
Thread 2 is writting, Tiempo log, 15, 227800 nanosegundos
Thread 1 is wrtting, Tiempo log, 15, 237700 nanosegundos
Thread 2 is writting, Tiempo log, 16, 273600 nanosegundos
Thread 1 is wrtting, Tiempo log, 16, 251400 nanosegundos
Thread 2 is writting, Tiempo log, 17, 234400 nanosegundos
Thread 1 is wrtting, Tiempo log, 17, 221300 nanosegundos
Thread 2 is writting, Tiempo log, 18, 260100 nanosegundos
Thread 1 is wrtting, Tiempo log, 18, 246200 nanosegundos
Thread 2 is writting, Tiempo log, 19, 244300 nanosegundos
Thread 1 is wrtting, Tiempo log, 19, 267800 nanosegundos
Thread 2 is writting, Tiempo log, 20, 241800 nanosegundos
Thread 1 is wrtting, Tiempo log, 20, 230000 nanosegundos
