Thread 1 is wrtting, Tiempo log, 1, 1455100 nanosegundos
Thread 2 is writting, Tiempo log, 1, 1565700 nanosegundos
Thread 1 is wrtting, Tiempo log, 2, 230400 nanosegundos
Thread 2 is writting, Tiempo log, 2, 246800 nanosegundos
Thread 1 is wrtting, Tiempo log, 3, 252000 nanosegundos
Thread 2 is writting, Tiempo log, 3, 233700 nanosegundos
Thread 1 is wrtting, Tiempo log, 4, 243600 nanosegundos
Thread 2 is writting, Tiempo log, 4, 212700 nanosegundos
Thread 1 is wrtting, Tiempo log, 5, 218000 nanosegundos
Thread 2 is writting, Tiempo log, 5, 216300 nanosegundos
Thread 1 is wrtting, Tiempo log, 6, 225300 nanosegundos
Thread 2 is writting, Tiempo log, 6, 259100 nanosegundos
Thread 1 is wrtting, Tiempo log, 7, 279900 nanosegundos
Thread 2 is writting, Tiempo log, 7, 261600 nanosegundos
Thread 1 is wrtting, Tiempo log, 8, 225100 nanosegundos
Thread 2 is writting, Tiempo log, 8, 219100 nanosegundos
Thread 1 is wrtting, Tiempo log, 9, 200800 nanosegundos
Thread 2 is writting, Tiempo log, 9, 198400 nanosegundos
Thread 1 is wrtting, Tiempo log, 10, 222900 nanosegundos
Thread 2 is writting, Tiempo log, 10, 222400 nanosegundos
Thread 1 is wrtting, Tiempo log, 11, 196200 nanosegundos
Thread 2 is writting, Tiempo log, 11, 210200 nanosegundos
Thread 1 is wrtting, Tiempo log, 12, 305200 nanosegundos
Thread 2 is writting, Tiempo log, 12, 322200 nanosegundos
Thread 1 is wrtting, Tiempo log, 13, 236100 nanosegundos
Thread 2 is writting, Tiempo log, 13, 207100 nanosegundos
Thread 1 is wrtting, Tiempo log, 14, 227700 nanosegundos
Thread 2 is writting, Tiempo log, 14, 257800 nanosegundos
Thread 1 is wrtting, Tiempo log, 15, 261500 nanosegundos
Thread 2 is writting, Tiempo log, 15, 250000 nanosegundos
Thread 1 is wrtting, Tiempo log, 16, 225900 nanosegundos
Thread 2 is writting, Tiempo log, 16, 256100 nanosegundos
Thread 1 is wrtting, Tiempo log, 17, 252000 nanosegundos
Thread 2 is writting, Tiempo log, 17, 196600 nanosegundos
Thread 1 is wrtting, Tiempo log, 18, 233800 nanosegundos
Thread 2 is writting, Tiempo log, 18, 279400 nanosegundos
Thread 1 is wrtting, Tiempo log, 19, 262900 nanosegundos
Thread 2 is writting, Tiempo log, 19, 226900 nanosegundos
Thread 1 is wrtting, Tiempo log, 20, 235100 nanosegundos
Thread 2 is writting, Tiempo log, 20, 284400 nanosegundos
