Thread 2 is writting, Tiempo getFileLogger: 249500 nanosegundos
Thread 1 is wrtting, Tiempo getFileLogger: 274000 nanosegundos
Thread 2 is writting, Tiempo log, 1, 1189200 nanosegundos
Thread 1 is wrtting, Tiempo log, 1, 1308500 nanosegundos
Thread 2 is writting, Tiempo log, 2, 274700 nanosegundos
Thread 1 is wrtting, Tiempo log, 2, 250100 nanosegundos
Thread 2 is writting, Tiempo log, 3, 220100 nanosegundos
Thread 1 is wrtting, Tiempo log, 3, 221100 nanosegundos
Thread 2 is writting, Tiempo log, 4, 243100 nanosegundos
Thread 1 is wrtting, Tiempo log, 4, 247100 nanosegundos
Thread 2 is writting, Tiempo log, 5, 272900 nanosegundos
Thread 1 is wrtting, Tiempo log, 5, 283600 nanosegundos
Thread 2 is writting, Tiempo log, 6, 223500 nanosegundos
Thread 1 is wrtting, Tiempo log, 6, 200500 nanosegundos
Thread 2 is writting, Tiempo log, 7, 255200 nanosegundos
Thread 1 is wrtting, Tiempo log, 7, 272300 nanosegundos
Thread 2 is writting, Tiempo log, 8, 242300 nanosegundos
Thread 1 is wrtting, Tiempo log, 8, 273900 nanosegundos
Thread 2 is writting, Tiempo log, 9, 308300 nanosegundos
Thread 1 is wrtting, Tiempo log, 9, 352400 nanosegundos
Thread 2 is writting, Tiempo log, 10, 396900 nanosegundos
Thread 1 is wrtting, Tiempo log, 10, 307400 nanosegundos
Thread 2 is writting, Tiempo log, 11, 296800 nanosegundos
Thread 1 is wrtting, Tiempo log, 11, 224500 nanosegundos
Thread 2 is writting, Tiempo log, 12, 264200 nanosegundos
Thread 1 is wrtting, Tiempo log, 12, 259500 nanosegundos
Thread 2 is writting, Tiempo log, 13, 267000 nanosegundos
Thread 1 is wrtting, Tiempo log, 13, 267700 nanosegundos
Thread 2 is writting, Tiempo log, 14, 267200 nanosegundos
Thread 1 is wrtting, Tiempo log, 14, 272300 nanosegundos
Thread 2 is writting, Tiempo log, 15, 247800 nanosegundos
Thread 1 is wrtting, Tiempo log, 15, 239000 nanosegundos
Thread 2 is writting, Tiempo log, 16, 269200 nanosegundos
Thread 1 is wrtting, Tiempo log, 16, 260300 nanosegundos
Thread 2 is writting, Tiempo log, 17, 196800 nanosegundos
Thread 1 is wrtting, Tiempo log, 17, 184200 nanosegundos
Thread 2 is writting, Tiempo log, 18, 177000 nanosegundos
Thread 1 is wrtting, Tiempo log, 18, 209700 nanosegundos
Thread 2 is writting, Tiempo log, 19, 208300 nanosegundos
Thread 1 is wrtting, Tiempo log, 19, 213100 nanosegundos
Thread 2 is writting, Tiempo log, 20, 253400 nanosegundos
Thread 1 is wrtting, Tiempo log, 20, 225800 nanosegundos
