Thread 1 is wrtting, Tiempo getFileLogger: 242900 nanosegundos
Thread 2 is writting, Tiempo getFileLogger: 240100 nanosegundos
Thread 1 is wrtting, Tiempo log, 1, 1162900 nanosegundos
Thread 2 is writting, Tiempo log, 1, 1279200 nanosegundos
Thread 1 is wrtting, Tiempo log, 2, 256400 nanosegundos
Thread 2 is writting, Tiempo log, 2, 286800 nanosegundos
Thread 1 is wrtting, Tiempo log, 3, 292400 nanosegundos
Thread 2 is writting, Tiempo log, 3, 228500 nanosegundos
Thread 2 is writting, Tiempo log, 4, 109500 nanosegundos
Thread 1 is wrtting, Tiempo log, 4, 350900 nanosegundos
Thread 2 is writting, Tiempo log, 5, 186700 nanosegundos
Thread 1 is wrtting, Tiempo log, 5, 200200 nanosegundos
Thread 2 is writting, Tiempo log, 6, 237700 nanosegundos
Thread 1 is wrtting, Tiempo log, 6, 252200 nanosegundos
Thread 2 is writting, Tiempo log, 7, 299800 nanosegundos
Thread 1 is wrtting, Tiempo log, 7, 322000 nanosegundos
Thread 2 is writting, Tiempo log, 8, 262200 nanosegundos
Thread 1 is wrtting, Tiempo log, 8, 242200 nanosegundos
Thread 2 is writting, Tiempo log, 9, 263100 nanosegundos
Thread 1 is wrtting, Tiempo log, 9, 220100 nanosegundos
Thread 2 is writting, Tiempo log, 10, 206700 nanosegundos
Thread 1 is wrtting, Tiempo log, 10, 199300 nanosegundos
Thread 2 is writting, Tiempo log, 11, 222700 nanosegundos
Thread 1 is wrtting, Tiempo log, 11, 212000 nanosegundos
Thread 2 is writting, Tiempo log, 12, 212800 nanosegundos
Thread 1 is wrtting, Tiempo log, 12, 268900 nanosegundos
Thread 2 is writting, Tiempo log, 13, 299800 nanosegundos
Thread 1 is wrtting, Tiempo log, 13, 287100 nanosegundos
Thread 2 is writting, Tiempo log, 14, 248600 nanosegundos
Thread 1 is wrtting, Tiempo log, 14, 247900 nanosegundos
Thread 2 is writting, Tiempo log, 15, 257100 nanosegundos
Thread 1 is wrtting, Tiempo log, 15, 256500 nanosegundos
Thread 2 is writting, Tiempo log, 16, 278000 nanosegundos
Thread 1 is wrtting, Tiempo log, 16, 258600 nanosegundos
Thread 2 is writting, Tiempo log, 17, 277700 nanosegundos
Thread 1 is wrtting, Tiempo log, 17, 250800 nanosegundos
Thread 2 is writting, Tiempo log, 18, 255100 nanosegundos
Thread 1 is wrtting, Tiempo log, 18, 250300 nanosegundos
Thread 2 is writting, Tiempo log, 19, 223700 nanosegundos
Thread 1 is wrtting, Tiempo log, 19, 218500 nanosegundos
Thread 2 is writting, Tiempo log, 20, 209100 nanosegundos
Thread 1 is wrtting, Tiempo log, 20, 239400 nanosegundos
